s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-1.141E-04,-4.386E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.142E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.008E+01, 3.964E+01,-9.657E+00, 3.039E-01, 3.561E-02, 5.553E-02, 0.000E+00, 0.000E+00, 2.705E+01, 3.038E+01, 0.000E+00, 9.187E-04, 0.000E+00
 2.007E+01, 4.740E+01,-7.897E+00, 3.822E-01,-9.678E-02, 7.471E-02, 0.000E+00, 0.000E+00, 3.990E+01, 3.987E+01, 0.000E+00, 9.430E-04, 0.000E+00
 3.006E+01, 4.728E+01,-7.940E+00, 5.199E-01,-7.959E-01, 7.544E-02, 0.000E+00, 0.000E+00, 3.915E+01, 3.914E+01, 0.000E+00, 9.430E-04, 0.000E+00
 4.007E+01, 4.721E+01,-8.025E+00, 4.541E-01,-1.575E+00, 7.508E-02, 0.000E+00, 0.000E+00, 3.815E+01, 3.814E+01, 0.000E+00, 9.430E-04, 0.000E+00
 5.005E+01, 4.740E+01,-7.813E+00, 4.237E-01,-1.578E+00, 7.585E-02, 0.000E+00, 0.000E+00, 3.849E+01, 3.851E+01, 0.000E+00, 9.430E-04, 0.000E+00
 6.003E+01, 4.692E+01,-7.878E+00, 3.998E-01,-1.593E+00, 7.563E-02, 0.000E+00, 0.000E+00, 3.793E+01, 3.793E+01, 0.000E+00, 9.430E-04, 0.000E+00
 7.001E+01, 4.720E+01,-8.025E+00, 8.460E-02,-1.632E+00, 7.443E-02, 0.000E+00, 0.000E+00, 3.771E+01, 3.770E+01, 0.000E+00, 9.430E-04, 0.000E+00
 8.012E+01, 4.709E+01,-7.921E+00,-7.167E-01,-1.786E+00, 7.509E-02, 0.000E+00, 0.000E+00, 3.675E+01, 3.675E+01, 0.000E+00, 9.430E-04, 0.000E+00
 9.014E+01, 4.725E+01,-8.084E+00,-5.528E-01,-1.818E+00, 7.555E-02, 0.000E+00, 0.000E+00, 3.686E+01, 3.687E+01, 0.000E+00, 9.430E-04, 0.000E+00
 1.000E+02, 4.722E+01,-8.211E+00,-1.744E+00,-1.904E+00, 7.406E-02, 0.000E+00, 0.000E+00, 3.542E+01, 3.544E+01, 0.000E+00, 9.430E-04, 0.000E+00
