,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2024-08-07T16:39:18.762+02:00, 0.108E+00,   0.10823, 0.25281E+01
      2,2024-08-07T16:39:18.848+02:00, 0.108E+00,   0.21646, 0.26138E+01
      3,2024-08-07T16:39:18.974+02:00, 0.413E-01,   0.25774, 0.27403E+01
      4,2024-08-07T16:39:19.058+02:00, 0.454E-01,   0.30316, 0.28244E+01
      5,2024-08-07T16:39:19.139+02:00, 0.500E-01,   0.35311, 0.29045E+01
      6,2024-08-07T16:39:19.247+02:00, 0.550E-01,   0.40807, 0.30128E+01
      7,2024-08-07T16:39:19.327+02:00, 0.604E-01,   0.46851, 0.30931E+01
      8,2024-08-07T16:39:19.433+02:00, 0.489E-01,   0.51744, 0.31986E+01
      9,2024-08-07T16:39:19.557+02:00, 0.375E-01,   0.55490, 0.33229E+01
     10,2024-08-07T16:39:19.663+02:00, 0.328E-01,   0.58769, 0.34275E+01
     20,2024-08-07T16:39:20.610+02:00, 0.168E-01,   0.80512, 0.43746E+01
     30,2024-08-07T16:39:21.547+02:00, 0.130E-01,   0.94328, 0.53108E+01
     40,2024-08-07T16:39:22.506+02:00, 0.130E-01,   1.07326, 0.62273E+01
     50,2024-08-07T16:39:23.437+02:00, 0.117E-01,   1.19531, 0.71572E+01
     60,2024-08-07T16:39:24.409+02:00, 0.128E-01,   1.31324, 0.81283E+01
     70,2024-08-07T16:39:25.361+02:00, 0.128E-01,   1.44168, 0.90786E+01
     80,2024-08-07T16:39:26.310+02:00, 0.141E-01,   1.58040, 0.10027E+02
     90,2024-08-07T16:39:27.272+02:00, 0.171E-01,   1.73610, 0.10987E+02
    100,2024-08-07T16:39:28.227+02:00, 0.152E-01,   1.89748, 0.11941E+02
    200,2024-08-07T16:39:38.056+02:00, 0.176E-01,   3.58529, 0.21673E+02
    300,2024-08-07T16:39:47.828+02:00, 0.137E-01,   5.12820, 0.31359E+02
    400,2024-08-07T16:39:57.414+02:00, 0.153E-01,   6.71367, 0.40895E+02
    500,2024-08-07T16:40:06.992+02:00, 0.176E-01,   8.38199, 0.50384E+02
    599,2024-08-07T16:40:16.483+02:00, 0.391E-02,  10.00000, 0.59788E+02
