s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-3.2584323E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2584323E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1176548E+000, 4.8064246E-002,-2.8555750E-003, 3.4101030E-004,-8.8543291E-005,-7.4193333E-006, 0.0000000E+000, 0.0000000E+000, 3.3786868E-002, 4.5453719E-002, 0.0000000E+000, 1.2764443E-006, 0.0000000E+000
 2.0756447E+000, 1.5185111E-001,-1.6484030E-002, 3.0348848E-003,-2.7723179E-004,-1.9940346E-005, 0.0000000E+000, 0.0000000E+000, 1.2199896E-001, 1.3810479E-001, 0.0000000E+000, 3.3501665E-006, 0.0000000E+000
 3.1122546E+000, 2.5716563E-001,-4.0411089E-002, 9.1579503E-003,-3.8263923E-004,-3.1490317E-005, 0.0000000E+000, 0.0000000E+000, 2.0985440E-001, 2.2549836E-001, 0.0000000E+000, 5.3170627E-006, 0.0000000E+000
 4.0614967E+000, 3.5234612E-001,-5.4287619E-002,-2.4949580E-002,-5.3581277E-004,-4.2964925E-005, 0.0000000E+000, 0.0000000E+000, 2.6505390E-001, 2.7253014E-001, 0.0000000E+000, 7.2756943E-006, 0.0000000E+000
 5.0560956E+000, 4.4607414E-001,-6.7120547E-002,-2.5352442E-001,-7.7359359E-004,-5.4242418E-005, 0.0000000E+000, 0.0000000E+000, 1.3557126E-001, 1.2460134E-001, 0.0000000E+000, 9.2121582E-006, 0.0000000E+000
 6.0506940E+000, 5.4544960E-001,-9.0823426E-002,-3.3183153E-001,-1.3999685E-003,-6.5772308E-005, 0.0000000E+000, 0.0000000E+000, 1.0848766E-001, 1.2132890E-001, 0.0000000E+000, 1.1199471E-005, 0.0000000E+000
 7.0844684E+000, 6.5043108E-001,-1.0378891E-001,-4.2014292E-001,-1.8973065E-003,-7.7442623E-005, 0.0000000E+000, 0.0000000E+000, 1.2833852E-001, 1.2452450E-001, 0.0000000E+000, 1.3222358E-005, 0.0000000E+000
 8.0680056E+000, 7.4773763E-001,-1.1779016E-001,-5.0911119E-001,-2.3685844E-003,-8.8986473E-005, 0.0000000E+000, 0.0000000E+000, 1.2415273E-001, 1.1837871E-001, 0.0000000E+000, 1.5233844E-005, 0.0000000E+000
