,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2024-08-03T17:59:56.809+02:00, 0.160E+00,   0.15966, 0.20435E+02
       2,2024-08-03T17:59:56.928+02:00, 0.160E+00,   0.31933, 0.20553E+02
       3,2024-08-03T17:59:57.068+02:00, 0.160E+00,   0.47899, 0.20692E+02
       4,2024-08-03T17:59:57.186+02:00, 0.160E+00,   0.63866, 0.20810E+02
       5,2024-08-03T17:59:57.304+02:00, 0.160E+00,   0.79832, 0.20928E+02
       6,2024-08-03T17:59:57.444+02:00, 0.160E+00,   0.95799, 0.21068E+02
       7,2024-08-03T17:59:57.564+02:00, 0.160E+00,   1.11765, 0.21189E+02
       8,2024-08-03T17:59:57.683+02:00, 0.160E+00,   1.27732, 0.21307E+02
       9,2024-08-03T17:59:57.823+02:00, 0.160E+00,   1.43698, 0.21447E+02
      10,2024-08-03T17:59:57.941+02:00, 0.160E+00,   1.59665, 0.21565E+02
      20,2024-08-03T17:59:59.272+02:00, 0.113E+00,   2.99927, 0.22895E+02
      30,2024-08-03T18:00:00.583+02:00, 0.995E-01,   4.06150, 0.24205E+02
      40,2024-08-03T18:00:01.826+02:00, 0.995E-01,   5.05610, 0.25448E+02
      50,2024-08-03T18:00:03.069+02:00, 0.995E-01,   6.05069, 0.26690E+02
      60,2024-08-03T18:00:04.375+02:00, 0.894E-01,   6.99506, 0.27996E+02
      70,2024-08-03T18:00:05.618+02:00, 0.894E-01,   7.88918, 0.29238E+02
      80,2024-08-03T18:00:06.903+02:00, 0.803E-01,   8.73767, 0.30522E+02
      90,2024-08-03T18:00:08.167+02:00, 0.803E-01,   9.54051, 0.31786E+02
     100,2024-08-03T18:00:09.411+02:00, 0.803E-01,  10.34336, 0.33029E+02
     200,2024-08-03T18:00:21.964+02:00, 0.640E-01,  17.36972, 0.45578E+02
     300,2024-08-03T18:00:34.499+02:00, 0.573E-01,  23.42080, 0.58109E+02
     400,2024-08-03T18:00:47.005+02:00, 0.513E-01,  28.65555, 0.70611E+02
     500,2024-08-03T18:00:59.465+02:00, 0.513E-01,  33.78184, 0.83066E+02
     600,2024-08-03T18:01:12.030+02:00, 0.540E-01,  38.87616, 0.95626E+02
     700,2024-08-03T18:01:24.693+02:00, 0.562E-01,  43.95895, 0.10828E+03
     800,2024-08-03T18:01:37.172+02:00, 0.552E-01,  49.29665, 0.12076E+03
     900,2024-08-03T18:01:49.710+02:00, 0.471E-01,  54.37028, 0.13329E+03
    1000,2024-08-03T18:02:02.133+02:00, 0.519E-01,  59.39989, 0.14571E+03
    1100,2024-08-03T18:02:14.636+02:00, 0.543E-01,  64.64350, 0.15821E+03
    1200,2024-08-03T18:02:27.115+02:00, 0.567E-01,  69.93385, 0.17068E+03
    1300,2024-08-03T18:02:39.626+02:00, 0.501E-01,  75.26458, 0.18319E+03
    1400,2024-08-03T18:02:52.179+02:00, 0.472E-01,  80.34582, 0.19574E+03
    1500,2024-08-03T18:03:04.627+02:00, 0.520E-01,  85.37736, 0.20818E+03
    1600,2024-08-03T18:03:17.095+02:00, 0.511E-01,  90.47613, 0.22065E+03
    1700,2024-08-03T18:03:29.559+02:00, 0.505E-01,  95.64653, 0.23311E+03
    1800,2024-08-03T18:03:42.000+02:00, 0.505E-01, 100.69958, 0.24554E+03
    1900,2024-08-03T18:03:54.512+02:00, 0.491E-01, 105.93478, 0.25805E+03
    2000,2024-08-03T18:04:06.940+02:00, 0.541E-01, 111.24159, 0.27047E+03
    2100,2024-08-03T18:04:19.645+02:00, 0.493E-01, 116.42434, 0.28317E+03
    2170,2024-08-03T18:04:28.341+02:00, 0.161E-02, 120.00000, 0.29187E+03
