rank;year;name;country;area burn (km2);deaths
1;2019-2020; Australian bushfire season;Australia;338000;34
2;2021;Russia wildfires;Russia; 200000;0
3;2023;Canadian wildfires;Canada; 140000;5
4;2019;Siberia wildfires;Russia; 43000 ;0
5;2014;Northwest Territories fires;Canada; 34000;0
6;2009;Black Saturday bushfires;Australia;21000;173
7;2020;California wildfires;United States of America; 18000;31
8;2010;Bolivia forest fires;Bolivia; 15000;0
9;2011-2012;Australian bushfire season;Australia; 14000 ;0
10;2006-2007;Australian bushfire season;Australia; 13000; 5
11;2017;British Columbia wildfires;Canada; 12000;0
12;2015;Russian wildfires;Russia; 11000;33
13;2012-2013;Australian bushfire season;Australia;9000;4
14;2019;Amazon rainforest wildfires;Brazil; 9000;2
